Dimension,PopulationSize,Generations,EngineType,Complexity,Best result,Mean best result,Mean first achieved iter,Mean finished eval at,Mean eval ime
2,10,100,SingleThreaded,0,0.0,0.0,0.0,100.0,4.7
2,10,100,SingleThreaded,1,7.916658597610205,6.82,0.0,100.0,1.7
2,10,100,SingleThreaded,2,7.916658597610205,6.82,0.0,100.0,2.3
2,10,100,SingleThreaded,3,7.916658597610205,6.82,0.0,100.0,1.0
2,10,100,SingleThreaded,4,7.916658597610205,6.82,0.0,100.0,1.0
2,10,100,SingleThreaded,5,7.916658597610205,6.82,0.0,100.0,1.0
2,10,100,MasterSlave,0,0.0,0.0,0.0,100.0,9.6
2,10,100,MasterSlave,1,7.916658597610205,6.82,0.0,100.0,3.7
2,10,100,MasterSlave,2,7.916658597610205,6.82,0.0,100.0,3.0
2,10,100,MasterSlave,3,7.916658597610205,6.82,0.0,100.0,2.6
2,10,100,MasterSlave,4,7.916658597610205,6.82,0.0,100.0,2.6
2,10,100,MasterSlave,5,7.916658597610205,6.82,0.0,100.0,2.5
2,10,100,Islands(2),0,0.0,0.0,0.0,0.0,3.3
2,10,100,Islands(2),1,9.991913002177617,9.96,0.0,0.0,2.7
2,10,100,Islands(2),2,9.981917765158283,9.95,0.0,0.0,2.9
2,10,100,Islands(2),3,9.98094222320554,9.9,0.0,0.0,2.2
2,10,100,Islands(2),4,9.985972235012513,9.9,0.0,0.0,3.0
2,10,100,Islands(2),5,9.99540357275055,9.95,0.0,0.0,3.3
2,10,100,Islands(8),0,0.0,0.0,0.0,0.0,16.9
2,10,100,Islands(8),1,9.986819047231936,9.96,0.0,0.0,18.0
2,10,100,Islands(8),2,9.99294512088496,9.97,0.0,0.0,18.4
2,10,100,Islands(8),3,9.986714515834107,9.96,0.0,0.0,18.8
2,10,100,Islands(8),4,9.992549490486859,9.97,0.0,0.0,18.3
2,10,100,Islands(8),5,9.991793347570152,9.97,0.0,0.0,16.0
2,10,200,SingleThreaded,0,0.0,0.0,0.0,200.0,0.4
2,10,200,SingleThreaded,1,7.916658597610205,6.82,0.0,200.0,1.0
2,10,200,SingleThreaded,2,7.916658597610205,6.82,0.0,200.0,1.1
2,10,200,SingleThreaded,3,7.916658597610205,6.82,0.0,200.0,1.0
2,10,200,SingleThreaded,4,7.916658597610205,6.82,0.0,200.0,2.0
2,10,200,SingleThreaded,5,7.916658597610205,6.82,0.0,200.0,2.1
2,10,200,MasterSlave,0,0.0,0.0,0.0,200.0,3.5
2,10,200,MasterSlave,1,7.916658597610205,6.82,0.0,200.0,4.0
2,10,200,MasterSlave,2,7.916658597610205,6.82,0.0,200.0,4.3
2,10,200,MasterSlave,3,7.916658597610205,6.82,0.0,200.0,4.5
2,10,200,MasterSlave,4,7.916658597610205,6.82,0.0,200.0,6.1
2,10,200,MasterSlave,5,7.916658597610205,6.82,0.0,200.0,5.7
2,10,200,Islands(2),0,0.0,0.0,0.0,1.0,3.9
2,10,200,Islands(2),1,9.978567346384132,9.89,0.0,1.0,3.9
2,10,200,Islands(2),2,9.98924911308147,9.91,0.0,1.0,3.7
2,10,200,Islands(2),3,9.979292403363907,9.87,0.0,1.0,3.4
2,10,200,Islands(2),4,9.975967441579497,9.89,0.0,1.0,3.7
2,10,200,Islands(2),5,9.98107500449989,9.88,0.0,1.0,4.2
